id,Title,Votes,Status,Types,Episodes,Score,Source,Members,Popularity,Favourites,Rating,Year,Season,Genres,Studios
36374,Flamingo Waltz,77,finished_airing,music,1,,original,163,17668,,g,1988,fall,"['Kids', 'Music']",
36630,Kimagure Mercy,601,finished_airing,music,1,6.5,music,993,11721,,g,2016,spring,['Music'],
37142,Nishitetsu CMs,84,currently_airing,special,,,original,250,16227,,g,2016,summer,"['Racing', 'Slice of Life']",
38166,Malta no Bouken Season 3,18,finished_airing,tv,12,,original,121,18393,,g,2017,spring,"['Adventure', 'Kids']",
38678,Kimi no Matsu Mirai (Basho) e,767,finished_airing,ona,1,5.86,original,1520,10622,,g,2018,fall,"['Sci-Fi', 'Slice of Life']",
39190,Wang Zhe Wai Chuan,8,finished_airing,ona,12,,,94,18726,,,,,['Comedy'],
41238,Arifureta Sekai Seifuku,,finished_airing,music,1,,original,,,,,,,['Music'],
41494,Feng Shen Bang Chuanqi,16,finished_airing,tv,100,,novel,86,18832,,,,,"['Action', 'Fantasy']",
42262,Enoshimans Spin-off: Kurage no Soudan,39,finished_airing,movie,3,,original,129,18263,,g,2019,winter,['Comedy'],['Oddjob']
43286,Xiao Xiliu,7,finished_airing,movie,1,,,38,19707,,g,,,['Kids'],['Shanghai Animation Film Studio']
43542,Zhang Le Tui De Mang Guo,7,finished_airing,movie,1,,original,35,19843,,pg,,,['Kids'],['Shanghai Animation Film Studio']
43798,Liang Zhi Xiao Kongque,5,finished_airing,movie,1,,,34,19870,,g,,,['Kids'],['Shanghai Animation Film Studio']
44310,Lan Mao Taoqi 3000 Wen Zhi Konglong Shidai,,finished_airing,tv,264,,original,,,,pg,,,"['Adventure', 'Comedy', 'Kids']",
44822,Chong Fan Dahai,,finished_airing,movie,1,,original,,,,pg,,,"['Adventure', 'Kids']",
45078,Qise Zhanji,3,finished_airing,tv,52,,original,51,19248,,g,,,"['Adventure', 'Fantasy', 'Kids']",['Creative Power Entertaining']
45334,Guai Guai Pinyin Lixian Ji season2,,finished_airing,tv,21,,original,,,,pg,,,"['Adventure', 'Kids']",
45846,Da Xia Shanmao He Ji Mi,,finished_airing,tv,52,,original,,,,pg,,,['Kids'],
46358,Kuaile Chengzhang,,finished_airing,tv,38,,original,,,,pg,,,['Kids'],
46614,Fengkuang De Zhangyu,,finished_airing,tv,52,,original,,,,pg,,,['Adventure'],
46870,Cha A Er Zhong Ba Ba Ba,,finished_airing,ona,20,,original,,,,g,,,['Slice of Life'],
47126,Qiaopi Da Zui Mao Zhi Chengshi Youxia,,finished_airing,tv,50,,original,,,,pg,,,['Kids'],
47382,Bai Bian Bu Lu Ke season2,,finished_airing,tv,20,,original,,,,pg,,,['Kids'],
47638,A.A,81,finished_airing,music,1,,original,148,17930,,g,2010,fall,"['Avant Garde', 'Music']",
47894,Pi Pi Zhu Zhi Chengyu Lieche,,finished_airing,tv,20,,original,,,,pg,,,['Kids'],
48150,Kkumdol-i,,finished_airing,tv,,,original,,,,pg,,,['Fantasy'],
48918,Peeping Life × Jidousha Tenken Seibi Suishin Undou,51,finished_airing,ona,1,,original,178,17426,,pg_13,2014,summer,['Comedy'],['CoMix Wave Films']
2839,Ariel Visual,566,finished_airing,ova,2,5.35,novel,1799,10197,,pg_13,1989,summer,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']",['J.C.Staff']
3863,Sweet Valerian Specials,441,finished_airing,special,8,5.78,original,989,11733,,g,2005,spring,"['Comedy', 'Shoujo']",['Madhouse']
8471,Naoko no Tropic Angel: Hyouryuu,225,finished_airing,ova,1,5.16,,709,12666,,rx,1985,spring,['Hentai'],
11799,Midori no Neko,657,finished_airing,ova,1,5.4,manga,1378,10862,,pg_13,1989,summer,['Mystery'],['Tezuka Productions']
18967,Zukkoke Sannin-gumi: Zukkoke Jikuu Bouken,68,finished_airing,ova,1,,,316,15301,,pg_13,1988,spring,"['Comedy', 'Historical', 'Sci-Fi']",
19479,Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special,142,finished_airing,special,1,5.72,,641,12943,,r,2005,summer,"['Action', 'Comedy', 'Ecchi', 'Parody']",['TMS Entertainment']
19991,Tobidase! Bacchiri,47,finished_airing,tv,132,,,308,15404,,pg,1966,fall,"['Comedy', 'Kids', 'Mystery']",
23575,Ikkyuu-san: Ooabare Yancha-hime,64,finished_airing,special,1,,,276,15869,,g,1980,summer,"['Comedy', 'Historical', 'Kids']",['Toei Animation']
25623,Rouge: Lady's Comic Video,42,finished_airing,ova,2,,,586,13199,,r+,1997,winter,"['Drama', 'Josei', 'Romance']",
28695,Nonsense Monogatari Dai Ippen: Sarugashima,316,finished_airing,movie,1,5.19,original,891,12005,,g,1931,winter,['Adventure'],
29207,Jeremy no Ki,64,finished_airing,movie,1,,,208,16885,,g,1983,spring,"['Drama', 'Fantasy', 'Kids']",
29719,Maze Maze Wien,48,finished_airing,movie,1,,original,185,17316,,g,,,['Avant Garde'],
30999,Ningen no Uta,15,finished_airing,ova,1,,,150,17904,,g,,,"['Drama', 'Kids']",
31255,Hakusai Anime Bangai-hen,65,finished_airing,ona,1,,,266,16010,,pg_13,2014,summer,"['Comedy', 'School']",
31511,Holiday,37,finished_airing,movie,1,,,151,17885,,g,,,,
35095,Hiroshima no Enoki,32,finished_airing,ova,1,,picture_book,165,17638,,g,1989,winter,"['Drama', 'Historical']",
36375,Furusato no Nai Aki,76,finished_airing,music,1,,original,168,17575,,g,1990,summer,"['Kids', 'Music']",
38167,Malta no Bouken Season 2,19,finished_airing,tv,12,,original,91,18766,,g,,,['Kids'],
41239,Idea no Shounen,,finished_airing,music,1,,original,,,,,,,['Music'],
41495,Gravity (2019),145,finished_airing,music,1,6.08,original,262,16066,,g,2019,fall,"['Avant Garde', 'Music']",
41751,Mechronicle!,,not_yet_aired,ova,,,,,,,,,,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",
42263,Konglong Baobei: Longshen Yongshi 2,9,finished_airing,tv,52,,original,72,19001,,pg,,,"['Adventure', 'Comedy', 'Kids', 'Sci-Fi']",
43287,Deng Mingtian,13,finished_airing,movie,1,,,43,19459,,g,,,['Kids'],['Shanghai Animation Film Studio']
43543,Guo Qiao,7,finished_airing,movie,1,,original,38,19658,,pg,,,['Kids'],
43799,Kongque De Yanhuo,7,finished_airing,movie,1,,,38,19668,,g,,,['Kids'],['Shanghai Animation Film Studio']
44311,Lan Mao Taoqi 3000 Wen Zhi Haiyang Shijie,,finished_airing,tv,312,,original,,,,pg,,,"['Action', 'Adventure', 'Kids']",
44823,Bate La Er Chuanshuo,,finished_airing,movie,1,,original,,,,pg,,,"['Adventure', 'Kids']",
45079,Gui Tu Da Zuozhan,1,finished_airing,movie,1,,,26,20054,,pg,2018,fall,"['Adventure', 'Fantasy', 'Kids', 'Sports']",
45335,Bing Ji Chaoren Kuaidi Xia,,finished_airing,tv,6,,original,,,,g,,,['Comedy'],
45847,Da Xia Shanmao He Ji Mi season2,,finished_airing,tv,52,,original,,,,pg,,,['Kids'],
